Eval Eval S51 4 1 it3 Info1 ARic Amphi
TDx TDx S36 3 16 it3 Info1x ARic SCC
TDx TDx S38 1 5 it3 Info1x ARic SCC
TDx TDx S40 0 16 it3 Info1x ARic SCC
TDx TDx S42 0 16 it3 Info1x ARic SCC
TDx TDx S45 0 5 it3 Info1x ARic SCC
TDx TDx S47 2 5 it3 Info1x ARic SCC
TDx TDx S49 2 5 it3 Info1x ARic SCC
TDy TDy S36 3 12 it3 Info1y ARic SCC
TDy TDy S38 0 5 it3 Info1y ARic SCC
TDy TDy S40 0 5 it3 Info1y ARic SCC
TDy TDy S42 0 12 it3 Info1y ARic SCC
TDy TDy S45 1 5 it3 Info1y ARic SCC
TDy TDy S47 1 12 it3 Info1y ARic SCC
TDy TDy S49 2 1 it3 Info1y ARic SCC
TPa TPa S38 2 1 it3 Info1a ARic Alab
TPa TPa S40 2 16 it3 Info1a ARic Alab
TPa TQa S37 2 16 it3 Info1a ARic SCC
TPa TQa S42 2 16 it3 Info1a ARic SCC
TPa TQa S45 3 12 it3 Info1a ARic SCC
TPa TQa S47 3 12 it3 Info1a ARic SCC
TPa TQa S49 3 1 it3 Info1a ARic SCC
TPb TPb S38 2 16 it3 Info1b ARic Alab
TPb TPb S40 2 5 it3 Info1b ARic Alab
TPb TQb S37 3 16 it3 Info1b ARic SCC
TPb TQb S42 2 5 it3 Info1b ARic SCC
TPb TQb S45 2 5 it3 Info1b ARic SCC
TPb TQb S47 3 16 it3 Info1b ARic SCC
TPb TQb S49 3 12 it3 Info1b ARic SCC
TPc TPc S38 2 12 it3 Info1c ARic Alab
TPc TPc S40 3 5 it3 Info1c ARic Alab
TPc TQc S37 2 12 it3 Info1c ARic SCC
TPc TQc S42 2 12 it3 Info1c ARic SCC
TPc TQc S45 3 5 it3 Info1c ARic SCC
TPc TQc S47 3 5 it3 Info1c ARic SCC
TPc TQc S49 3 5 it3 Info1c ARic SCC
TPd TPd S38 2 5 it3 Info1d ARic Alab
TPd TPd S40 2 12 it3 Info1d ARic Alab
TPd TQd S37 2 5 it3 Info1d ARic SCC
TPd TQd S42 3 5 it3 Info1d ARic SCC
TPd TQd S45 2 1 it3 Info1d ARic SCC
TPd TQd S47 3 1 it3 Info1d ARic SCC
TPd TQd S49 3 16 it3 Info1d ARic SCC
