CG CG S36 0 12 it3 Info2 PVil Amphi
CM CMmp S40 0 5 it3 Info2 MPri SC3
CM CMad S45 0 1 it3 Info2 ADoe SC3
CM CMad S50 0 1 it3 Info2 ADoe SC3
Eval Eval S51 3 1 it3 Info2 MPri Amphi
TDx TDxmp S41 0 5 it3 Info2x MPri SC3
TDx TDxmp S42 0 1 it3 Info2x MPri SCC
TDx TDxad S50 0 5 it3 Info2x ADoe SCC
TDy TDymp S41 0 16 it3 Info2y MPri SC3
TDy TDymp S42 0 5 it3 Info2y MPri SCC
TDy TDyad S50 0 12 it3 Info2y ADoe SCC
TPa TQaad S46 0 1 it3 Info2A ADoe TD27
TPa TPamp S43 0 1 it3 Info2A MPri TR
TPa TPamp S43 2 5 it3 Info2A MPri TR
TPa TPaad S47 0 12 it3 Info2A ADoe TR
TPb TQbad S46 0 16 it3 Info2B ADoe TD27
TPb TPbmp S43 0 16 it3 Info2B MPri TR
TPb TPbmp S43 2 16 it3 Info2B MPri TR
TPb TPbad S47 0 5 it3 Info2B ADoe Mul
TPc TQcad S46 0 5 it3 Info2C ADoe TD27
TPc TPcmp S43 0 12 it3 Info2C MPri TR
TPc TPcmp S43 2 12 it3 Info2C MPri TR
TPc TPcad S47 0 1 it3 Info2C ADoe Mul
